label,phase,run,status,elapsed_us,max_rss_kib,stdout_bytes,stderr_lines
trace-branch-subject,first,0,0,3190,12552,565,0
trace-branch-subject,repeated,1,0,4068,12452,565,0
trace-branch-subject,repeated,2,0,3285,12400,565,0
trace-branch-subject,repeated,3,0,3296,12776,565,0
trace-branch-subject,repeated,4,0,3211,12512,565,0
trace-branch-subject,repeated,5,0,3269,12592,565,0
trace-branch-subject,repeated,6,0,3476,14676,565,0
trace-branch-subject,repeated,7,0,3919,12696,565,0
trace-branch-subject,repeated,8,0,3360,14504,565,0
trace-branch-subject,repeated,9,0,3794,12416,565,0
trace-branch-subject,repeated,10,0,3355,12596,565,0
trace-branch-subject,repeated,11,0,3518,14704,565,0
trace-branch-subject,repeated,12,0,3519,14492,565,0
trace-branch-subject,repeated,13,0,3402,14724,565,0
trace-branch-subject,repeated,14,0,3370,12540,565,0
trace-branch-subject,repeated,15,0,3412,12704,565,0
trace-branch-subject,repeated,16,0,3282,12540,565,0
trace-branch-subject,repeated,17,0,3344,14628,565,0
trace-branch-subject,repeated,18,0,3410,12772,565,0
trace-branch-subject,repeated,19,0,3178,12776,565,0
trace-branch-subject,repeated,20,0,3162,12536,565,0
trace-branch-one-record,first,0,0,3766,12552,565,0
trace-branch-one-record,repeated,1,0,3780,14876,565,0
trace-branch-one-record,repeated,2,0,3853,12604,565,0
trace-branch-one-record,repeated,3,0,3724,12568,565,0
trace-branch-one-record,repeated,4,0,4256,12852,565,0
trace-branch-one-record,repeated,5,0,4185,12716,565,0
trace-branch-one-record,repeated,6,0,4333,14620,565,0
trace-branch-one-record,repeated,7,0,3923,12608,565,0
trace-branch-one-record,repeated,8,0,4192,12704,565,0
trace-branch-one-record,repeated,9,0,3772,12568,565,0
trace-branch-one-record,repeated,10,0,3978,14812,565,0
trace-branch-one-record,repeated,11,0,3949,14876,565,0
trace-branch-one-record,repeated,12,0,3762,14768,565,0
trace-branch-one-record,repeated,13,0,3978,14888,565,0
trace-branch-one-record,repeated,14,0,3656,12560,565,0
trace-branch-one-record,repeated,15,0,3740,12700,565,0
trace-branch-one-record,repeated,16,0,3811,14624,565,0
trace-branch-one-record,repeated,17,0,3640,12820,565,0
trace-branch-one-record,repeated,18,0,3816,12712,565,0
trace-branch-one-record,repeated,19,0,3633,12592,565,0
trace-branch-one-record,repeated,20,0,3786,14876,565,0
validate-diagnostics,first,0,1,18288,19468,0,1200
validate-diagnostics,repeated,1,1,17303,19504,0,1200
validate-diagnostics,repeated,2,1,17446,19500,0,1200
validate-diagnostics,repeated,3,1,17041,19596,0,1200
validate-diagnostics,repeated,4,1,17462,21596,0,1200
validate-diagnostics,repeated,5,1,17385,19396,0,1200
